"scenario","topology","strength","retention","view","method","bias_minimal","bias","absolute_bias_reduction"
15,"discordant-collider",0.45,0.7,"reduced","pooled_all",0.00593798217644462,0.00594848196167275,-1.04997852281297e-05
16,"noncollider",1.1,0.7,"full","role_based",0.00062707239858209,0.000693136350814798,-6.60639522327075e-05
16,"noncollider",1.1,0.7,"full","all_measured",0.00062707239858209,0.000723705299792557,-9.66329012104666e-05
16,"noncollider",1.1,0.7,"full","oracle",0.00062707239858209,0.000669883323053559,-4.28109244714689e-05
16,"noncollider",1.1,0.7,"full","policy",0.00062707239858209,0.00062707239858209,0
16,"noncollider",1.1,0.7,"full","pooled_all",0.00062707239858209,0.000591141909679592,3.59304889024983e-05
16,"noncollider",1.1,0.7,"reduced","role_based",0.00062707239858209,NA,NA
16,"noncollider",1.1,0.7,"reduced","all_measured",0.00062707239858209,0.000658565053751094,-3.14926551690034e-05
16,"noncollider",1.1,0.7,"reduced","oracle",0.00062707239858209,0.000669883323053559,-4.28109244714689e-05
16,"noncollider",1.1,0.7,"reduced","policy",0.00062707239858209,0.00062707239858209,0
16,"noncollider",1.1,0.7,"reduced","pooled_all",0.00062707239858209,0.0004046575881195,0.00022241481046259
17,"concordant-collider",1.1,0.7,"full","role_based",-0.0179981644495436,-0.000193817940043813,0.0178043465094998
17,"concordant-collider",1.1,0.7,"full","all_measured",-0.0179981644495436,-0.000253033799673855,0.0177451306498698
17,"concordant-collider",1.1,0.7,"full","oracle",-0.0179981644495436,-0.000217407411853304,0.0177807570376903
17,"concordant-collider",1.1,0.7,"full","policy",-0.0179981644495436,-0.000253033799673855,0.0177451306498698
17,"concordant-collider",1.1,0.7,"full","pooled_all",-0.0179981644495436,-0.000147646201298368,0.0178505182482453
17,"concordant-collider",1.1,0.7,"reduced","role_based",-0.0179981644495436,NA,NA
17,"concordant-collider",1.1,0.7,"reduced","all_measured",-0.0179981644495436,-0.0180066411686014,-8.47671905774422e-06
17,"concordant-collider",1.1,0.7,"reduced","oracle",-0.0179981644495436,-0.000217407411853304,0.0177807570376903
17,"concordant-collider",1.1,0.7,"reduced","policy",-0.0179981644495436,-0.0179981644495436,0
17,"concordant-collider",1.1,0.7,"reduced","pooled_all",-0.0179981644495436,-0.0178221480083229,0.000176016441220776
18,"discordant-collider",1.1,0.7,"full","role_based",0.015244160517508,3.91894228660983e-05,0.0152049710946419
18,"discordant-collider",1.1,0.7,"full","all_measured",0.015244160517508,-8.78324255207744e-06,0.0152353772749559
18,"discordant-collider",1.1,0.7,"full","oracle",0.015244160517508,3.66223331224914e-05,0.0152075381843855
18,"discordant-collider",1.1,0.7,"full","policy",0.015244160517508,-8.78324255207744e-06,0.0152353772749559
18,"discordant-collider",1.1,0.7,"full","pooled_all",0.015244160517508,5.85800090181499e-05,0.0151855805084899
18,"discordant-collider",1.1,0.7,"reduced","role_based",0.015244160517508,NA,NA
18,"discordant-collider",1.1,0.7,"reduced","all_measured",0.015244160517508,0.0152074538091588,3.67067083491997e-05
18,"discordant-collider",1.1,0.7,"reduced","oracle",0.015244160517508,3.66223331224914e-05,0.0152075381843855
18,"discordant-collider",1.1,0.7,"reduced","policy",0.015244160517508,0.015244160517508,0
18,"discordant-collider",1.1,0.7,"reduced","pooled_all",0.015244160517508,0.0152211748759305,2.2985641577461e-05
2,"concordant-collider",0.1,0.3,"full","role_based",-0.000833407759602722,-0.000680999619787313,0.000152408139815409
2,"concordant-collider",0.1,0.3,"full","all_measured",-0.000833407759602722,-0.000807141959055346,2.62658005473759e-05
2,"concordant-collider",0.1,0.3,"full","oracle",-0.000833407759602722,-0.000711045844858135,0.000122361914744587
2,"concordant-collider",0.1,0.3,"full","policy",-0.000833407759602722,-0.000651052809508633,0.000182354950094089
2,"concordant-collider",0.1,0.3,"full","pooled_all",-0.000833407759602722,-0.000246934745471848,0.000586473014130874
2,"concordant-collider",0.1,0.3,"reduced","role_based",-0.000833407759602722,NA,NA
2,"concordant-collider",0.1,0.3,"reduced","all_measured",-0.000833407759602722,-0.0008378247778036,-4.41701820087792e-06
2,"concordant-collider",0.1,0.3,"reduced","oracle",-0.000833407759602722,-0.000711045844858135,0.000122361914744587
2,"concordant-collider",0.1,0.3,"reduced","policy",-0.000833407759602722,-0.000833407759602722,0
2,"concordant-collider",0.1,0.3,"reduced","pooled_all",-0.000833407759602722,-0.000538600855959054,0.000294806903643668
3,"discordant-collider",0.1,0.3,"full","role_based",0.000836140352330459,-0.000312578363137507,0.000523561989192952
3,"discordant-collider",0.1,0.3,"full","all_measured",0.000836140352330459,-0.000360064557311704,0.000476075795018755
3,"discordant-collider",0.1,0.3,"full","oracle",0.000836140352330459,-0.000296268536049568,0.000539871816280891
3,"discordant-collider",0.1,0.3,"full","policy",0.000836140352330459,-0.000176663239379871,0.000659477112950588
3,"discordant-collider",0.1,0.3,"full","pooled_all",0.000836140352330459,-0.000368670046206561,0.000467470306123898
3,"discordant-collider",0.1,0.3,"reduced","role_based",0.000836140352330459,NA,NA
3,"discordant-collider",0.1,0.3,"reduced","all_measured",0.000836140352330459,0.000806303952118375,2.98364002120841e-05
3,"discordant-collider",0.1,0.3,"reduced","oracle",0.000836140352330459,-0.000296268536049568,0.000539871816280891
3,"discordant-collider",0.1,0.3,"reduced","policy",0.000836140352330459,0.000836140352330459,0
3,"discordant-collider",0.1,0.3,"reduced","pooled_all",0.000836140352330459,0.000666144229667466,0.000169996122662993
4,"noncollider",0.45,0.3,"full","role_based",-0.00141581705984774,-0.00133349813433832,8.2318925509417e-05
4,"noncollider",0.45,0.3,"full","all_measured",-0.00141581705984774,-0.00144439650243702,-2.85794425892785e-05
4,"noncollider",0.45,0.3,"full","oracle",-0.00141581705984774,-0.00133159782637754,8.4219233470198e-05
4,"noncollider",0.45,0.3,"full","policy",-0.00141581705984774,-0.00141581705984774,0
4,"noncollider",0.45,0.3,"full","pooled_all",-0.00141581705984774,-0.00135999676744539,5.58202924023435e-05
4,"noncollider",0.45,0.3,"reduced","role_based",-0.00141581705984774,NA,NA
4,"noncollider",0.45,0.3,"reduced","all_measured",-0.00141581705984774,-0.00138621166401187,2.96053958358661e-05
4,"noncollider",0.45,0.3,"reduced","oracle",-0.00141581705984774,-0.00133159782637754,8.4219233470198e-05
4,"noncollider",0.45,0.3,"reduced","policy",-0.00141581705984774,-0.00141581705984774,0
4,"noncollider",0.45,0.3,"reduced","pooled_all",-0.00141581705984774,-0.00101595067321938,0.000399866386628353
5,"concordant-collider",0.45,0.3,"full","role_based",-0.0122655250614187,0.000514970256765196,0.0117505548046535
5,"concordant-collider",0.45,0.3,"full","all_measured",-0.0122655250614187,0.00051674579358997,0.0117487792678288
5,"concordant-collider",0.45,0.3,"full","oracle",-0.0122655250614187,0.000516779410748909,0.0117487456506698
5,"concordant-collider",0.45,0.3,"full","policy",-0.0122655250614187,0.00051674579358997,0.0117487792678288
5,"concordant-collider",0.45,0.3,"full","pooled_all",-0.0122655250614187,0.000237569872544266,0.0120279551888745
5,"concordant-collider",0.45,0.3,"reduced","role_based",-0.0122655250614187,NA,NA
5,"concordant-collider",0.45,0.3,"reduced","all_measured",-0.0122655250614187,-0.0123742318644176,-0.000108706802998869
5,"concordant-collider",0.45,0.3,"reduced","oracle",-0.0122655250614187,0.000516779410748909,0.0117487456506698
5,"concordant-collider",0.45,0.3,"reduced","policy",-0.0122655250614187,-0.0122655250614187,0
5,"concordant-collider",0.45,0.3,"reduced","pooled_all",-0.0122655250614187,-0.0123217560111336,-5.62309497148805e-05
6,"discordant-collider",0.45,0.3,"full","role_based",0.00805105927428471,-0.000240544320044143,0.00781051495424057
6,"discordant-collider",0.45,0.3,"full","all_measured",0.00805105927428471,-0.000308382434096716,0.00774267684018799
6,"discordant-collider",0.45,0.3,"full","oracle",0.00805105927428471,-0.000276286667057125,0.00777477260722758
6,"discordant-collider",0.45,0.3,"full","policy",0.00805105927428471,-0.000308382434096716,0.00774267684018799
6,"discordant-collider",0.45,0.3,"full","pooled_all",0.00805105927428471,-6.80279410188861e-05,0.00798303133326582
6,"discordant-collider",0.45,0.3,"reduced","role_based",0.00805105927428471,NA,NA
6,"discordant-collider",0.45,0.3,"reduced","all_measured",0.00805105927428471,0.0081292844394917,-7.82251652069951e-05
6,"discordant-collider",0.45,0.3,"reduced","oracle",0.00805105927428471,-0.000276286667057125,0.00777477260722758
6,"discordant-collider",0.45,0.3,"reduced","policy",0.00805105927428471,0.00805105927428471,0
6,"discordant-collider",0.45,0.3,"reduced","pooled_all",0.00805105927428471,0.00806086818114824,-9.80890686353222e-06
7,"noncollider",1.1,0.3,"full","role_based",-3.59820614862366e-05,0.000297759948363646,-0.00026177788687741
7,"noncollider",1.1,0.3,"full","all_measured",-3.59820614862366e-05,0.000332237518948245,-0.000296255457462008
7,"noncollider",1.1,0.3,"full","oracle",-3.59820614862366e-05,0.000319684327072169,-0.000283702265585932
7,"noncollider",1.1,0.3,"full","policy",-3.59820614862366e-05,-3.59820614862366e-05,0
7,"noncollider",1.1,0.3,"full","pooled_all",-3.59820614862366e-05,-0.000142016855115647,-0.00010603479362941
7,"noncollider",1.1,0.3,"reduced","role_based",-3.59820614862366e-05,NA,NA
7,"noncollider",1.1,0.3,"reduced","all_measured",-3.59820614862366e-05,3.12805289415727e-05,4.70153254466393e-06
7,"noncollider",1.1,0.3,"reduced","oracle",-3.59820614862366e-05,0.000319684327072169,-0.000283702265585932
7,"noncollider",1.1,0.3,"reduced","policy",-3.59820614862366e-05,-3.59820614862366e-05,0
7,"noncollider",1.1,0.3,"reduced","pooled_all",-3.59820614862366e-05,-0.000214941986394289,-0.000178959924908052
8,"concordant-collider",1.1,0.3,"full","role_based",-0.035808264196509,0.000200811256475072,0.035607452940034
8,"concordant-collider",1.1,0.3,"full","all_measured",-0.035808264196509,5.28933642834281e-05,0.0357553708322256
8,"concordant-collider",1.1,0.3,"full","oracle",-0.035808264196509,0.000147545905413354,0.0356607182910957
8,"concordant-collider",1.1,0.3,"full","policy",-0.035808264196509,5.28933642834281e-05,0.0357553708322256
8,"concordant-collider",1.1,0.3,"full","pooled_all",-0.035808264196509,-0.000224867903086769,0.0355833962934223
8,"concordant-collider",1.1,0.3,"reduced","role_based",-0.035808264196509,NA,NA
8,"concordant-collider",1.1,0.3,"reduced","all_measured",-0.035808264196509,-0.035815212460577,-6.94826406798243e-06
8,"concordant-collider",1.1,0.3,"reduced","oracle",-0.035808264196509,0.000147545905413354,0.0356607182910957
8,"concordant-collider",1.1,0.3,"reduced","policy",-0.035808264196509,-0.035808264196509,0
8,"concordant-collider",1.1,0.3,"reduced","pooled_all",-0.035808264196509,-0.035683530042429,0.000124734154080042
9,"discordant-collider",1.1,0.3,"full","role_based",0.017280347038651,0.000330094034346116,0.0169502530043049
9,"discordant-collider",1.1,0.3,"full","all_measured",0.017280347038651,0.000353294416754947,0.016927052621896
9,"discordant-collider",1.1,0.3,"full","oracle",0.017280347038651,0.000313997526484335,0.0169663495121667
9,"discordant-collider",1.1,0.3,"full","policy",0.017280347038651,0.000353294416754947,0.016927052621896
9,"discordant-collider",1.1,0.3,"full","pooled_all",0.017280347038651,0.000538753027477797,0.0167415940111732
9,"discordant-collider",1.1,0.3,"reduced","role_based",0.017280347038651,NA,NA
9,"discordant-collider",1.1,0.3,"reduced","all_measured",0.017280347038651,0.0173065734196514,-2.62263810004264e-05
9,"discordant-collider",1.1,0.3,"reduced","oracle",0.017280347038651,0.000313997526484335,0.0169663495121667
9,"discordant-collider",1.1,0.3,"reduced","policy",0.017280347038651,0.017280347038651,0
9,"discordant-collider",1.1,0.3,"reduced","pooled_all",0.017280347038651,0.0175926884325507,-0.000312341393899709
