"geometry","visit","projection","feature","coefficient"
"disconnected",1,"V","M1",-0.665062770605306
"disconnected",1,"V","A0",-0.112838413116462
"disconnected",2,"U","B1",0.0177487348119445
"disconnected",2,"U","B2",0.681602488047535
"disconnected",2,"U","B3",0.114401573720593
"disconnected",2,"U","L0",0.417643142057444
"disconnected",2,"U","L1",0.00133787544216415
"disconnected",2,"U","L2",-0.262210515086775
"disconnected",2,"U","M0",0.302196208629215
"disconnected",2,"U","M1",0.011830854233326
"disconnected",2,"U","M2",0.371541689961053
"disconnected",2,"U","A0",0.192496583665464
"disconnected",2,"U","A1",0.110782185689306
"disconnected",2,"V","B1",-0.540930962593428
"disconnected",2,"V","B2",-0.157435899694072
"disconnected",2,"V","B3",0.439316748876943
"disconnected",2,"V","L0",-0.083696394194525
"disconnected",2,"V","L1",-0.175466922456367
"disconnected",2,"V","L2",-0.420931287634194
"disconnected",2,"V","M0",-0.330373405326291
"disconnected",2,"V","M1",0.288652933154963
"disconnected",2,"V","M2",0.226379880160681
"disconnected",2,"V","A0",-0.135054087051454
"disconnected",2,"V","A1",0.112592139281058
"disconnected",3,"U","B1",0.0490303642069459
"disconnected",3,"U","B2",0.120727774476524
"disconnected",3,"U","B3",0.497911240220275
"disconnected",3,"U","L0",-0.406095972361129
"disconnected",3,"U","L1",-0.291412431735345
"disconnected",3,"U","L2",-0.201051377302905
"disconnected",3,"U","L3",0.285027502733653
"disconnected",3,"U","M0",0.186658090729568
"disconnected",3,"U","M1",0.196043359977374
"disconnected",3,"U","M2",0.289919234259644
"disconnected",3,"U","M3",-0.333684425558391
"disconnected",3,"U","A0",-0.170835331300473
"disconnected",3,"U","A1",0.255049137657504
"disconnected",3,"U","A2",0.0264626875021382
"disconnected",3,"V","B1",-0.142199160005541
"disconnected",3,"V","B2",0.00929333398481019
"disconnected",3,"V","B3",-0.108368123586146
"disconnected",3,"V","L0",0.252848496793774
"disconnected",3,"V","L1",-0.0320354568485829
"disconnected",3,"V","L2",-0.214031356889243
"disconnected",3,"V","L3",-0.00476164273065793
"disconnected",3,"V","M0",0.14405920013991
"disconnected",3,"V","M1",-0.179308374105476
"disconnected",3,"V","M2",0.471468200608992
"disconnected",3,"V","M3",0.00311299819763448
"disconnected",3,"V","A0",0.345694005383757
"disconnected",3,"V","A1",0.67015844419333
"disconnected",3,"V","A2",0.115522586680793
"disconnected",4,"U","B1",-0.0259807145305148
"disconnected",4,"U","B2",-0.0420216169193263
"disconnected",4,"U","B3",-0.0302755141598863
"disconnected",4,"U","L0",-0.300458781608793
"disconnected",4,"U","L1",-0.0548656216548008
"disconnected",4,"U","L2",-0.118070421537626
"disconnected",4,"U","L3",-0.157369601780404
"disconnected",4,"U","L4",-0.0484528256224743
"disconnected",4,"U","M0",0.556058572337308
"disconnected",4,"U","M1",-0.229760616560038
"disconnected",4,"U","M2",-0.284311737545665
"disconnected",4,"U","M3",-0.313114627999607
"disconnected",4,"U","M4",-0.449874821107648
"disconnected",4,"U","A0",0.0869935261910224
"disconnected",4,"U","A1",0.0729867072649127
"disconnected",4,"U","A2",0.217702086581793
"disconnected",4,"U","A3",0.242408485521588
"disconnected",4,"V","B1",0.0147060861623279
"disconnected",4,"V","B2",0.150945580085604
"disconnected",4,"V","B3",0.132213354414227
"disconnected",4,"V","L0",0.0275797197902685
"disconnected",4,"V","L1",0.591416544146864
"disconnected",4,"V","L2",0.066313672273821
"disconnected",4,"V","L3",-0.387334934703846
"disconnected",4,"V","L4",-0.416874464216325
"disconnected",4,"V","M0",-0.13988158139246
"disconnected",4,"V","M1",0.0468663902851425
"disconnected",4,"V","M2",0.0554465827628717
"disconnected",4,"V","M3",-0.110088106891426
"disconnected",4,"V","M4",0.0737586537327844
"disconnected",4,"V","A0",0.086810675957361
"disconnected",4,"V","A1",0.100924540931452
"disconnected",4,"V","A2",0.150413861994777
"disconnected",4,"V","A3",-0.445006621300411
"disconnected",5,"U","B1",-0.38760233100961
"disconnected",5,"U","B2",-0.0883462178422746
"disconnected",5,"U","B3",-0.0710556691561676
"disconnected",5,"U","L0",0.15017510712933
"disconnected",5,"U","L1",0.108253145626761
"disconnected",5,"U","L2",-0.0660584452916354
"disconnected",5,"U","L3",0.0200993273303375
"disconnected",5,"U","L4",0.188971423028687
"disconnected",5,"U","L5",0.58433391596054
"disconnected",5,"U","M0",0.17511105993057
"disconnected",5,"U","M1",0.145569091773824
"disconnected",5,"U","M2",0.246822489361852
"disconnected",5,"U","M3",-0.263998824238029
"disconnected",5,"U","M4",0.0629097799622226
"disconnected",5,"U","M5",-0.100557910093724
"disconnected",5,"U","A0",-0.0533756707444303
"disconnected",5,"U","A1",-0.121937231525437
"disconnected",5,"U","A2",-0.26338839031869
"disconnected",5,"U","A3",0.29889910896099
"disconnected",5,"U","A4",-0.21850141651861
"disconnected",5,"V","B1",0.112241184535545
"disconnected",5,"V","B2",0.0945410081280014
"disconnected",5,"V","B3",0.170591334873693
"disconnected",5,"V","L0",0.065834099970955
"disconnected",5,"V","L1",0.231743350048455
"disconnected",5,"V","L2",-0.0829832748938087
"disconnected",5,"V","L3",0.136693873465071
"disconnected",5,"V","L4",-0.100481156288222
"disconnected",5,"V","L5",-0.164574185882637
"disconnected",5,"V","M0",0.00267824241772639
"disconnected",5,"V","M1",0.311309439674487
"disconnected",5,"V","M2",-0.0717549890176995
"disconnected",5,"V","M3",-0.326805004599062
"disconnected",5,"V","M4",0.327015729175538
"disconnected",5,"V","M5",-0.413334211927028
"disconnected",5,"V","A0",-0.022608371596427
"disconnected",5,"V","A1",0.362670547931695
"disconnected",5,"V","A2",-0.0977023913115134
"disconnected",5,"V","A3",0.39502403982232
"disconnected",5,"V","A4",-0.210438911965907
"interaction",0,"U","B1",-0.743343138362763
"interaction",0,"U","B2",0.0132661307169058
"interaction",0,"U","B3",-0.440526031808402
"interaction",0,"U","L0",-0.17688540482936
"interaction",0,"U","M0",-0.471076806139186
"interaction",0,"V","B1",-0.697057944359972
"interaction",0,"V","B2",-0.0283395286767221
"interaction",0,"V","B3",0.143925880022278
"interaction",0,"V","L0",-0.160852299573316
"interaction",0,"V","M0",-0.683168333649051
"interaction",1,"U","B1",-0.0958018425894496
"interaction",1,"U","B2",0.133998896982327
"interaction",1,"U","B3",0.592345369781662
"interaction",1,"U","L0",-0.233275039862157
"interaction",1,"U","L1",-0.297717590802869
"interaction",1,"U","M0",0.604833512350411
"interaction",1,"U","M1",-0.293447964039924
"interaction",1,"U","A0",-0.164331896188004
"interaction",1,"V","B1",-0.326567937180638
"interaction",1,"V","B2",-0.174913001191511
"interaction",1,"V","B3",0.702808250603671
"interaction",1,"V","L0",-0.471185766308149
"interaction",1,"V","L1",0.202481278824997
"interaction",1,"V","M0",0.234031949833866
"interaction",1,"V","M1",0.200843923272557
"interaction",1,"V","A0",-0.103418845471276
"interaction",2,"U","B1",-0.0466274092294973
"interaction",2,"U","B2",0.49605787552067
"interaction",2,"U","B3",-0.254797603744081
"interaction",2,"U","L0",-0.500089751891505
"interaction",2,"U","L1",-0.0641880382475164
"interaction",2,"U","L2",-0.0204243209149107
"interaction",2,"U","M0",-0.0356854367806682
"interaction",2,"U","M1",0.367188017560434
"interaction",2,"U","M2",0.329604079152813
"interaction",2,"U","A0",0.38692572787344
"interaction",2,"U","A1",0.1943007317541
"interaction",2,"V","B1",0.474398615249554
"interaction",2,"V","B2",0.13977338301502
"interaction",2,"V","B3",-0.514015601448784
"interaction",2,"V","L0",-0.138663906994451
"interaction",2,"V","L1",-0.0679529280980743
"interaction",2,"V","L2",-0.56896793788273
"interaction",2,"V","M0",-0.181027143429601
"interaction",2,"V","M1",-0.0261813726345665
"interaction",2,"V","M2",0.243273334429126
"interaction",2,"V","A0",-0.150610956008516
"interaction",2,"V","A1",0.168242850050502
"interaction",3,"U","B1",-0.317874550637815
"interaction",3,"U","B2",-0.0704574527228942
"interaction",3,"U","B3",0.183020782097695
"interaction",3,"U","L0",0.0753189941565042
"interaction",3,"U","L1",0.0854544922701989
"interaction",3,"U","L2",-0.175741032508817
"interaction",3,"U","L3",-0.165317966218557
"interaction",3,"U","M0",-0.132083074594668
"interaction",3,"U","M1",-0.611777400303147
"interaction",3,"U","M2",0.0572947124575047
"interaction",3,"U","M3",-0.614744463137905
"interaction",3,"U","A0",-0.109650582541683
"interaction",3,"U","A1",0.0580292059611376
"interaction",3,"U","A2",0.0316693068218925
"interaction",3,"V","B1",-0.469806212227302
"interaction",3,"V","B2",-0.119270903423309
"interaction",3,"V","B3",0.340527935312017
"interaction",3,"V","L0",0.203958906962262
"interaction",3,"V","L1",-0.295637238811875
"interaction",3,"V","L2",-0.169252954638856
"interaction",3,"V","L3",0.228812272755243
"interaction",3,"V","M0",0.136306955326909
"interaction",3,"V","M1",0.316129814552821
"interaction",3,"V","M2",-0.425955437589576
"interaction",3,"V","M3",-0.0368599293925299
"interaction",3,"V","A0",0.358839745353163
"interaction",3,"V","A1",-0.00169191011998361
"interaction",3,"V","A2",0.0949310695757003
"interaction",4,"U","B1",0.0708159235902699
"interaction",4,"U","B2",0.285762179226288
"interaction",4,"U","B3",0.0296408718353589
"interaction",4,"U","L0",-0.0687522151887642
"interaction",4,"U","L1",-0.0491705469349701
"interaction",4,"U","L2",-0.320685744868153
"interaction",4,"U","L3",-0.317768301746985
"interaction",4,"U","L4",-0.166568630461803
"interaction",4,"U","M0",-0.390764640849809
"interaction",4,"U","M1",0.0234208627532586
"interaction",4,"U","M2",0.0322057175564461
"interaction",4,"U","M3",-0.350193569434465
"interaction",4,"U","M4",0.42300267122504
"interaction",4,"U","A0",-0.285698932549554
"interaction",4,"U","A1",0.0525806058079901
"interaction",4,"U","A2",-0.198421097249552
"interaction",4,"U","A3",0.306808839646575
"interaction",4,"V","B1",0.229741674893963
"interaction",4,"V","B2",-0.236660195263873
"interaction",4,"V","B3",0.0119750953818278
"interaction",4,"V","L0",0.172432465977887
"interaction",4,"V","L1",0.232419059853601
"interaction",4,"V","L2",0.0587064896213938
"interaction",4,"V","L3",-0.481789431900073
"interaction",4,"V","L4",-0.0506922693578988
"interaction",4,"V","M0",-0.223876131485851
"interaction",4,"V","M1",-0.283564813217896
"interaction",4,"V","M2",0.355802972728267
"interaction",4,"V","M3",0.0898762328985737
"interaction",4,"V","M4",0.391422030394437
"interaction",4,"V","A0",-0.316670504149666
"interaction",4,"V","A1",-0.102541217915662
"interaction",4,"V","A2",0.109177938583969
"interaction",4,"V","A3",0.167480048016341
"interaction",5,"U","B1",-0.358349358077574
"interaction",5,"U","B2",-0.0945675311476119
"interaction",5,"U","B3",0.484038027916693
"interaction",5,"U","L0",0.0364582898522665
"interaction",5,"U","L1",0.106575166940478
"interaction",5,"U","L2",-0.0017895139614348
"interaction",5,"U","L3",-0.271205549448516
"interaction",5,"U","L4",0.173553882777307
"interaction",5,"U","L5",-0.185592853276841
"interaction",5,"U","M0",-0.278182899897319
"interaction",5,"U","M1",-0.0652846072015001
"interaction",5,"U","M2",-0.0447904650925154
"interaction",5,"U","M3",-0.0332242246002785
"interaction",5,"U","M4",0.225252525259988
"interaction",5,"U","M5",-0.397272101911074
"interaction",5,"U","A0",0.0115775974482301
"interaction",5,"U","A1",-0.0207920737499485
"interaction",5,"U","A2",0.0809377617953211
"interaction",5,"U","A3",0.0626433784253933
"interaction",5,"U","A4",0.416146603118721
"interaction",5,"V","B1",0.0897102527798772
"interaction",5,"V","B2",0.284252456277839
"interaction",5,"V","B3",0.0798241940708045
"interaction",5,"V","L0",-0.201434905424978
"interaction",5,"V","L1",-0.150499513671994
"interaction",5,"V","L2",-0.0207058493872887
"interaction",5,"V","L3",0.0690160025697862
"interaction",5,"V","L4",-0.00834731979735226
"interaction",5,"V","L5",0.100046514814034
"interaction",5,"V","M0",-0.427127210160868
"interaction",5,"V","M1",-0.394774981574488
"interaction",5,"V","M2",-0.0741602057881063
"interaction",5,"V","M3",-0.0842596238488756
"interaction",5,"V","M4",0.293080034643515
"interaction",5,"V","M5",-0.458634624202806
"interaction",5,"V","A0",-0.213494522803892
"interaction",5,"V","A1",0.125266419407903
"interaction",5,"V","A2",-0.302080259089024
"interaction",5,"V","A3",0.153984722635995
"interaction",5,"V","A4",-0.0540584048434847
